City,Date,numPeople,numFamilies,Precipitation,Humidity,TempF,TempC,Tidal,Elevation
Kalimantan Barat,2022-09-02,35074,8769,3.7,87.0,82.0,27.8,0.007676348547717848,114.5390625
Aceh,2022-09-02,3369,867,0.0,48.0,74.6,23.7,-0.002987551867219904,1220.890625
Aceh,2022-09-01,1044,414,0.0,38.0,80.7,27.1,-0.0073443983402489525,1220.890625
Bengkulu,2022-09-01,210,45,1.3,83.0,79.9,26.6,0.0029460580912863106,659.7421875
Gorontalo,2022-08-31,3166,901,0.5,92.0,75.5,24.2,0.007302904564315352,55.55078125
Sulawesi Selatan,2022-08-31,150,30,0.5,92.0,75.5,24.2,0.0009128630705394219,532.796875
Sulawesi Utara,2022-08-30,513,130,3.6,79.0,82.7,28.2,0.006929460580912861,138.18359375
Sulawesi Tengah,2022-08-30,500,100,8.8,87.0,80.5,26.9,0.010082987551867224,1080.984375
Sulawesi Selatan,2022-08-30,1675,335,1.0,73.0,84.4,29.1,0.003402489626556014,532.796875
Sulawesi Barat,2022-08-30,2500,500,6.0,83.0,79.9,26.6,0.003402489626556014,349.03515625
Gorontalo,2022-08-30,996,265,8.8,87.0,80.5,26.9,0.006929460580912861,55.55078125
Bengkulu,2022-08-30,6555,1311,45.9,90.0,78.1,25.6,0.006970954356846466,659.7421875
Kalimantan Selatan,2022-08-30,5919,1609,0.5,81.0,81.3,27.4,0.011120331950207476,567.015625
Bengkulu,2022-08-30,12880,2576,45.9,90.0,78.1,25.6,0.006970954356846466,659.7421875
Bengkulu,2022-08-30,5380,1076,45.9,90.0,78.1,25.6,0.006970954356846466,659.7421875
Sulawesi Selatan,2022-08-30,9477,2643,1.0,73.0,84.4,29.1,0.003402489626556014,532.796875
Bengkulu,2022-08-30,1800,360,45.9,90.0,78.1,25.6,0.006970954356846466,659.7421875
Bengkulu,2022-08-29,10530,2106,19.6,88.0,78.7,25.9,0.00858921161825726,659.7421875
Jawa Barat,2022-08-29,140,40,0.1,78.0,78.9,26.1,0.004979253112033192,-1
Sumatera Utara,2022-08-29,400,120,7.3,75.0,81.9,27.7,0.00759336099585062,1703.65625
Bengkulu,2022-08-29,600,120,19.6,88.0,78.7,25.9,0.00858921161825726,659.7421875
Bengkulu,2022-08-29,2590,518,19.6,88.0,78.7,25.9,0.00858921161825726,659.7421875
Kalimantan Barat,2022-08-28,13728,3499,2.6,89.0,80.2,26.8,-0.010124481327800833,114.5390625
Aceh,2022-08-28,911,192,0.0,33.0,84.9,29.4,-0.004688796680497927,1220.890625
Aceh,2022-08-27,275,55,0.0,32.0,86.2,30.1,8.2987551867214e-05,1220.890625
Jawa Barat,2022-08-27,1032,298,0.1,77.0,77.9,25.5,0.00713692946058091,733.0
Kalimantan Barat,2022-08-27,665,254,2.3,88.0,81.4,27.4,-0.010165975103734447,114.5390625
Landslide,2022-08-27,173,44,-1,-1,-1,-1,-0.011369294605809108,156.8515625
Maluku,2022-08-27,625,125,15.5,83.0,79.2,26.2,0.012199170124481327,604.0859375
Maluku,2022-08-27,908,171,15.5,83.0,79.2,26.2,0.012199170124481327,604.0859375
Aceh,2022-08-26,1763,770,0.0,35.0,87.3,30.7,0.005103734439834025,1220.890625
Kalimantan Barat,2022-08-25,2080,796,2.7,90.0,80.3,26.8,-0.006141078838174282,114.5390625
Kalimantan Timur,2022-08-25,7905,1581,2.7,90.0,80.3,26.8,-0.0011618257261410859,141.9765625
Kalimantan Timur,2022-08-25,1065,213,2.7,90.0,80.3,26.8,-0.0011618257261410859,141.9765625
Maluku,2022-08-24,1270,322,18.6,83.0,78.9,26.1,0.010746887966804978,604.0859375
Sulawesi Utara,2022-08-23,599,104,0.0,71.0,84.6,29.2,-0.005850622406639002,138.18359375
Maluku Utara,2022-08-23,250,50,12.8,79.0,80.2,26.8,-0.0056846473029045766,157.203125
